"","x"
"1",128469.171766566
"2",170395.60830697
"3",181865.241067685
"4",200505.908935769
"5",196100.326856208
"6",172751.734540959
"7",179532.536767182
"8",164370.988503797
"9",186416.125516324
"10",123806.772786477
"11",175683.113589175
"12",97552.0170679511
"13",99375.3734379746
"14",145505.760909907
"15",125972.977250547
"16",363915.821209482
"17",257491.508526899
"18",304778.903932138
"19",274687.630432982
"20",569503.720727477
"21",330431.013915914
"22",211101.350861832
"23",173218.81151597
"24",165211.227380572
"25",185126.48605007
"26",190906.891492996
"27",349826.384965431
"28",232939.838911622
"29",198623.609923058
"30",249472.25481387
"31",196443.061819168
"32",89392.6138600231
"33",167587.030129604
"34",280082.219680451
"35",286033.03559553
"36",237231.261157522
"37",181075.195573057
"38",185096.674056401
"39",163590.769184949
"40",161170.403312637
"41",171449.350197083
"42",144755.682940826
"43",291562.255077586
"44",245882.013442444
"45",228678.248076399
"46",187594.48335114
"47",259189.949455794
"48",203063.189046754
"49",150936.899508969
"50",149286.883903524
"51",169901.108008143
"52",183845.555768538
"53",146704.434206363
"54",169425.186879283
"55",194043.293825399
"56",150040.81652528
"57",160642.918763818
"58",128118.578848828
"59",207420.352799852
"60",133053.457379249
"61",137269.026576975
"62",177025.318557372
"63",113651.623004479
"64",128900.455693007
"65",121609.566528287
"66",113955.190841284
"67",109806.746043092
"68",131872.859003485
"69",155380.843011735
"70",210451.593443812
"71",109760.357876077
"72",91631.6956386425
"73",155365.234730723
"74",100866.769544808
"75",146335.877077495
"76",106768.041086513
"77",75221.1887964394
"78",147009.799561122
"79",203333.085460894
"80",74361.8828419282
"81",143405.573721909
"82",153396.018632636
"83",188364.319151292
"84",86820.8043631179
"85",118982.621097189
"86",139509.374003512
"87",138175.043610094
"88",138689.247384004
"89",127258.323803142
"90",136751.782026919
"91",100352.920642814
"92",143322.721989776
"93",138126.269149324
"94",120422.215977792
"95",167946.711894684
"96",86027.2421612767
"97",121823.580497907
"98",103471.111879096
"99",122147.827480143
"100",133049.77711377
"101",133558.508175237
"102",138177.597482196
"103",124163.285104862
"104",162730.79623499
"105",151022.327625084
"106",229218.661106466
"107",78701.2330856747
"108",249184.215900071
"109",136116.082974248
"110",137086.180020855
"111",124449.852559162
"112",145143.201907999
"113",208001.400051359
"114",116291.542654789
"115",224796.594662178
