Region	Type	Enrollment	Property	Violent
SE	U	5590	266	30
SE	C	540	10	0
W	U	35747	1233	23
W	C	28176	210	1
SW	U	10568	116	1
SW	U	3127	29	0
W	U	20675	284	7
W	C	12548	43	0
C	U	30063	660	19
C	C	4429	94	4
NE	U	12254	93	3
NE	C	11136	417	6
NE	U	20949	448	26
SE	U	12316	529	23
SE	C	10678	52	7
SE	U	25743	488	15
SE	C	3641	12	0
MW	U	11321	292	9
MW	C	1260	12	0
C	U	27823	367	11
C	U	14410	160	2
C	U	22396	208	7
C	U	6723	75	1
SE	U	23901	817	8
SW	U	15489	170	13
SW	C	13404	68	0
NE	U	10698	244	1
NE	U	10966	108	5
NE	U	11237	226	0
NE	C	5181	76	19
NE	U	13348	115	1
NE	C	4339	75	6
MW	U	38248	1293	18
MW	C	9764	40	0
MW	U	46597	841	9
MW	U	9380	91	2
SE	U	16878	251	4
SE	C	1318	22	1
C	U	12969	168	2
C	C	2878	12	3
C	U	22764	360	3
C	U	6426	73	0
W	U	23313	491	13
W	C	9697	17	0
NE	U	35650	815	24
NE	C	6846	140	7
SW	U	23753	891	27
SW	U	3556	65	3
NE	U	4018	120	1
NE	U	6483	130	1
SE	U	25494	479	8
SE	C	1673	57	0
C	U	11764	263	5
C	C	2292	36	0
MW	U	18739	266	3
MW	C	20496	101	1
SW	U	25104	304	7
SW	C	1961	27	0
NE	U	3239	16	0
NE	C	1902	19	1
NE	U	14264	266	4
NE	C	7774	223	5
SE	U	23000	601	17
SE	U	1476	26	2
C	U	9260	8	1
SE	U	26033	543	8
SE	C	12736	120	1
SW	U	7369	64	1
SW	U	13313	103	1
C	U	27668	496	6
C	C	22609	106	1
NE	U	4638	106	10
NE	C	4114	44	1
W	U	21073	293	7
W	C	4227	80	1
NE	U	22774	243	1
NE	C	3072	27	3
MW	U	40922	416	13
MW	U	10549	120	7
C	U	12366	222	0
C	C	2729	12	0
