           Production Column Row
1   5.522036    1       1
2   5.845786    1       2
3   5.395786    1       3
4   5.445786    1       4
5   5.567036    1       5
6   5.607036    1       6
7   5.749536    1       7
8   5.231143    1       8
9   5.343643    1       9
10  5.393643    1      10
11  5.404893    1      11
12  5.708643    1      12
13  5.356143    1      13
14  5.302393    1      14
15  5.245786    1      15
16  5.239536    1      16
17  5.278286    1      17
18  5.170786    1      18
19  5.305786    1      19
20  5.195786    1      20
21  5.075786    1      21
22  4.853643    1      22
23  5.001143    1      23
24  5.127393    1      24
25  5.148643    1      25
26  5.141143    1      26
27  5.016143    1      27
28  5.099893    1      28
29  5.320786    1      29
30  4.998286    1      30
31  4.937036    1      31
32  4.762036    1      32
33  5.320786    1      33
34  5.065786    1      34
35  5.163286    1      35
36  4.801143    1      36
37  4.766143    1      37
38  4.942393    1      38
39  4.648643    1      39
40  5.321143    1      40
41  5.077393    1      41
42  4.928643    1      42
43  5.306143    1      43
44  5.188643    1      44
45  5.236143    1      45
46  5.308643    1      46
47  5.262393    1      47
48  5.363643    1      48
49  5.231143    1      49
50  5.019536    1      50
51  5.243286    1      51
52  5.065786    1      52
53  4.734536    1      53
54  5.033286    1      54
55  4.977036    1      55
56  4.789536    1      56
57  5.834536    2       1
58  5.902036    2       2
59  5.773286    2       3
60  5.568286    2       4
61  5.634536    2       5
62  5.512036    2       6
63  5.617036    2       7
64  5.574893    2       8
65  5.369893    2       9
66  5.506143    2      10
67  5.854893    2      11
68  5.762393    2      12
69  6.129893    2      13
70  5.273643    2      14
71  5.268286    2      15
72  5.334536    2      16
73  5.220786    2      17
74  5.289536    2      18
75  5.293286    2      19
76  4.935786    2      20
77  5.522036    2      21
78  5.172393    2      22
79  5.223643    2      23
80  5.512393    2      24
81  5.446143    2      25
82  5.401143    2      26
83  5.638643    2      27
84  5.678643    2      28
85  5.560786    2      29
86  5.233286    2      30
87  5.202036    2      31
88  5.109536    2      32
89  5.340786    2      33
90  5.193286    2      34
91  5.219536    2      35
92  5.198643    2      36
93  5.238643    2      37
94  5.012393    2      38
95  5.206143    2      39
96  5.208643    2      40
97  5.412393    2      41
98  5.309893    2      42
99  5.393643    2      43
100 5.356143    2      44
101 5.544893    2      45
102 5.558643    2      46
103 5.576143    2      47
104 5.471143    2      48
105 5.161143    2      49
106 5.305786    2      50
107 5.464536    2      51
108 5.644536    2      52
109 5.128286    2      53
110 5.064536    2      54
111 5.235786    2      55
112 5.388286    2      56
113 5.613286    3       1
114 5.945786    3       2
115 5.618286    3       3
116 5.280786    3       4
117 5.569536    3       5
118 5.480786    3       6
119 5.430786    3       7
120 5.406143    3       8
121 5.371143    3       9
122 5.661143    3      10
123 5.429893    3      11
124 5.684893    3      12
125 5.687393    3      13
126 5.329893    3      14
127 5.387036    3      15
128 5.175786    3      16
129 5.550786    3      17
130 5.054536    3      18
131 5.179536    3      19
132 5.309536    3      20
133 4.898286    3      21
134 5.247393    3      22
135 5.161143    3      23
136 4.881143    3      24
137 5.088643    3      25
138 5.059893    3      26
139 5.188643    3      27
140 5.239893    3      28
141 5.045786    3      29
142 5.364536    3      30
143 5.207036    3      31
144 5.503286    3      32
145 5.269536    3      33
146 5.667036    3      34
147 5.329536    3      35
148 5.326143    3      36
149 5.163643    3      37
150 4.797393    3      38
151 5.131143    3      39
152 5.293643    3      40
153 5.777393    3      41
154 5.052393    3      42
155 5.233643    3      43
156 5.077393    3      44
157 5.336143    3      45
158 5.379893    3      46
159 5.361143    3      47
160 5.353643    3      48
161 5.417393    3      49
162 5.529536    3      50
163 5.475786    3      51
164 5.629536    3      52
165 5.190786    3      53
166 5.607036    3      54
167 5.538286    3      55
168 4.867036    3      56
169 5.918286    4       1
170 5.865786    4       2
171 5.462036    4       3
172 5.324536    4       4
173 5.502036    4       5
174 6.135786    4       6
175 5.678286    4       7
176 5.534893    4       8
177 5.363643    4       9
178 5.396143    4      10
179 5.556143    4      11
180 5.181143    4      12
181 5.633643    4      13
182 5.491143    4      14
183 5.080786    4      15
184 5.108286    4      16
185 5.382036    4      17
186 4.932036    4      18
187 5.098286    4      19
188 5.130786    4      20
189 5.324536    4      21
190 5.044893    4      22
191 4.859893    4      23
192 5.293643    4      24
193 5.101143    4      25
194 5.353643    4      26
195 4.979893    4      27
196 5.363643    4      28
197 4.858286    4      29
198 4.835786    4      30
199 4.833286    4      31
200 4.705786    4      32
201 4.894536    4      33
202 5.148286    4      34
203 5.435786    4      35
204 5.049893    4      36
205 5.247393    4      37
206 5.376143    4      38
207 4.963643    4      39
208 5.263643    4      40
209 5.504893    4      41
210 5.196143    4      42
211 5.161143    4      43
212 5.119893    4      44
213 5.123643    4      45
214 5.607393    4      46
215 5.423643    4      47
216 5.464893    4      48
217 5.558643    4      49
218 5.293286    4      50
219 5.648286    4      51
220 5.578286    4      52
221 5.217036    4      53
222 5.333286    4      54
223 5.300786    4      55
224 5.234536    4      56
225 5.453286    5       1
226 5.799536    5       2
227 5.609536    5       3
228 5.618286    5       4
229 5.912036    5       5
230 5.277036    5       6
231 5.760786    5       7
232 5.286143    5       8
233 5.117393    5       9
234 5.301143    5      10
235 5.247393    5      11
236 5.651143    5      12
237 5.368643    5      13
238 5.457393    5      14
239 5.163286    5      15
240 5.155786    5      16
241 5.028286    5      17
242 5.035786    5      18
243 5.030786    5      19
244 5.094536    5      20
245 4.713286    5      21
246 4.958643    5      22
247 5.259893    5      23
248 5.246143    5      24
249 5.014893    5      25
250 5.026143    5      26
251 4.982393    5      27
252 5.321143    5      28
253 5.135786    5      29
254 4.878286    5      30
255 4.825786    5      31
256 4.708286    5      32
257 4.770786    5      33
258 5.060786    5      34
259 5.340786    5      35
260 5.264893    5      36
261 5.026143    5      37
262 5.057393    5      38
263 5.219893    5      39
264 5.216143    5      40
265 5.346143    5      41
266 5.437393    5      42
267 5.009893    5      43
268 5.186143    5      44
269 5.241143    5      45
270 5.403643    5      46
271 5.448643    5      47
272 5.414893    5      48
273 5.254893    5      49
274 5.005786    5      50
275 4.995786    5      51
276 5.395786    5      52
277 5.080786    5      53
278 5.208286    5      54
279 5.289536    5      55
280 5.055786    5      56
281 5.690786    6       1
282 5.615786    6       2
283 5.755786    6       3
284 5.438286    6       4
285 5.228286    6       5
286 5.298286    6       6
287 5.693286    6       7
288 5.466143    6       8
289 5.329893    6       9
290 5.323643    6      10
291 5.388643    6      11
292 5.522393    6      12
293 5.706143    6      13
294 5.429893    6      14
295 5.397036    6      15
296 4.932036    6      16
297 5.282036    6      17
298 5.067036    6      18
299 5.303286    6      19
300 5.560786    6      20
301 5.348286    6      21
302 5.213643    6      22
303 5.446143    6      23
304 5.376143    6      24
305 5.393643    6      25
306 5.271143    6      26
307 4.898643    6      27
308 5.279893    6      28
309 5.403286    6      29
310 5.220786    6      30
311 5.298286    6      31
312 5.332036    6      32
313 5.404536    6      33
314 5.455786    6      34
315 5.463286    6      35
316 5.489893    6      36
317 5.163643    6      37
318 5.004893    6      38
319 4.983643    6      39
320 5.338643    6      40
321 5.658643    6      41
322 5.143643    6      42
323 5.318643    6      43
324 4.991143    6      44
325 5.237393    6      45
326 5.106143    6      46
327 5.341143    6      47
328 5.269893    6      48
329 5.221143    6      49
330 4.762036    6      50
331 4.960786    6      51
332 5.193286    6      52
333 4.953286    6      53
334 5.118286    6      54
335 5.165786    6      55
336 4.912036    6      56
337 5.584536    7       1
338 5.629536    7       2
339 5.708286    7       3
340 4.748286    7       4
341 5.220786    7       5
342 5.333286    7       6
343 5.669536    7       7
344 5.293643    7       8
345 5.298643    7       9
346 5.416143    7      10
347 5.332393    7      11
348 5.404893    7      12
349 5.538643    7      13
350 5.476143    7      14
351 5.119536    7      15
352 5.085786    7      16
353 4.943286    7      17
354 4.618286    7      18
355 4.833286    7      19
356 4.938286    7      20
357 5.165786    7      21
358 5.087393    7      22
359 5.127393    7      23
360 5.373643    7      24
361 5.301143    7      25
362 5.437393    7      26
363 5.546143    7      27
364 5.467393    7      28
365 5.567036    7      29
366 5.385786    7      30
367 5.649536    7      31
368 5.235786    7      32
369 5.578286    7      33
370 5.464536    7      34
371 5.432036    7      35
372 5.266143    7      36
373 5.047393    7      37
374 5.273643    7      38
375 5.218643    7      39
376 5.263643    7      40
377 5.071143    7      41
378 5.269893    7      42
379 5.142393    7      43
380 5.449893    7      44
381 5.273643    7      45
382 5.173643    7      46
383 5.306143    7      47
384 5.347393    7      48
385 5.158643    7      49
386 4.739536    7      50
387 4.994536    7      51
388 4.978286    7      52
389 4.867036    7      53
390 4.543286    7      54
391 4.580786    7      55
392 4.642036    7      56
393 5.413286    8       1
394 5.713286    8       2
395 5.969536    8       3
396 5.605786    8       4
397 5.635786    8       5
398 5.493286    8       6
399 5.429536    8       7
400 5.557393    8       8
401 5.273643    8       9
402 5.351143    8      10
403 5.248643    8      11
404 5.757393    8      12
405 5.087393    8      13
406 4.633643    8      14
407 4.677036    8      15
408 4.615786    8      16
409 4.668286    8      17
410 5.025786    8      18
411 5.133286    8      19
412 4.789536    8      20
413 4.514536    8      21
414 4.943643    8      22
415 5.164893    8      23
416 5.006143    8      24
417 5.224893    8      25
418 5.436143    8      26
419 5.182393    8      27
420 5.313643    8      28
421 5.349536    8      29
422 5.362036    8      30
423 5.237036    8      31
424 5.534536    8      32
425 5.518286    8      33
426 5.255786    8      34
427 5.163286    8      35
428 5.334893    8      36
429 5.141143    8      37
430 5.281143    8      38
431 4.909893    8      39
432 5.297393    8      40
433 5.427393    8      41
434 5.032393    8      42
435 5.297393    8      43
436 4.957393    8      44
437 5.087393    8      45
438 4.973643    8      46
439 5.289893    8      47
440 4.886143    8      48
441 5.256143    8      49
442 5.127036    8      50
443 5.223286    8      51
444 5.142036    8      52
445 5.149536    8      53
446 4.948286    8      54
447 4.832036    8      55
448 4.862036    8      56
449 5.767036    9       1
450 5.812036    9       2
451 5.800786    9       3
452 5.400786    9       4
453 6.060786    9       5
454 5.867036    9       6
455 5.615786    9       7
456 5.183643    9       8
457 5.323643    9       9
458 5.266143    9      10
459 5.212393    9      11
460 4.992393    9      12
461 4.873643    9      13
462 5.047393    9      14
463 4.370786    9      15
464 4.690786    9      16
465 4.547036    9      17
466 4.464536    9      18
467 4.669536    9      19
468 4.358286    9      20
469 4.209536    9      21
470 4.317393    9      22
471 4.734893    9      23
472 4.878643    9      24
473 4.892393    9      25
474 5.073643    9      26
475 4.916143    9      27
476 4.986143    9      28
477 5.015786    9      29
478 5.438286    9      30
479 5.232036    9      31
480 5.519536    9      32
481 5.638286    9      33
482 5.459536    9      34
483 5.912036    9      35
484 5.033643    9      36
485 5.251143    9      37
486 5.353643    9      38
487 4.971143    9      39
488 5.346143    9      40
489 5.302393    9      41
490 5.173643    9      42
491 5.322393    9      43
492 5.396143    9      44
493 5.012393    9      45
494 5.388643    9      46
495 5.384893    9      47
496 5.053643    9      48
497 5.232393    9      49
498 5.073286    9      50
499 5.125786    9      51
500 5.155786    9      52
501 5.219536    9      53
502 5.140786    9      54
503 4.968286    9      55
504 4.609536    9      56
505 5.594536   10       1
506 5.783286   10       2
507 5.415786   10       3
508 5.308286   10       4
509 5.368286   10       5
510 5.754536   10       6
511 6.379536   10       7
512 5.798643   10       8
513 5.401143   10       9
514 5.459893   10      10
515 5.496143   10      11
516 5.108643   10      12
517 5.287393   10      13
518 4.508643   10      14
519 4.843286   10      15
520 4.492036   10      16
521 4.793286   10      17
522 4.077036   10      18
523 4.578286   10      19
524 4.362036   10      20
525 4.559536   10      21
526 4.386143   10      22
527 4.244893   10      23
528 4.468643   10      24
529 4.407393   10      25
530 4.793643   10      26
531 4.827393   10      27
532 4.522393   10      28
533 4.449536   10      29
534 4.647036   10      30
535 5.090786   10      31
536 5.068286   10      32
537 5.118286   10      33
538 5.533286   10      34
539 5.784536   10      35
540 5.036143   10      36
541 5.064893   10      37
542 5.284893   10      38
543 5.178643   10      39
544 5.221143   10      40
545 5.329893   10      41
546 5.726143   10      42
547 5.292393   10      43
548 5.143643   10      44
549 5.267393   10      45
550 5.406143   10      46
551 5.314893   10      47
552 5.378643   10      48
553 4.989893   10      49
554 4.968286   10      50
555 5.248286   10      51
556 5.210786   10      52
557 5.235786   10      53
558 5.162036   10      54
559 5.110786   10      55
560 4.880786   10      56
