deaths	exposure	age	year
0	49.5	11	1947
0	69	12	1947
1	98.5	13	1947
0	147	14	1947
0	489.5	15	1947
1	2253.5	16	1947
4	4178.5	17	1947
3	6560.5	18	1947
12	8382	19	1947
17	10615	20	1947
32	13851.5	21	1947
27	18140	22	1947
36	22632.5	23	1947
44	27108.5	24	1947
37	31915.5	25	1947
36	37870	26	1947
51	44166	27	1947
53	43368.5	28	1947
56	40484.5	29	1947
77	46870	30	1947
84	56030	31	1947
88	63658.5	32	1947
101	70646.5	33	1947
127	77198	34	1947
118	81634	35	1947
152	85638	36	1947
166	91231.5	37	1947
133	96322.5	38	1947
166	100290.5	39	1947
212	101394	40	1947
232	100792.5	41	1947
271	101258.5	42	1947
289	101839.5	43	1947
310	101110.5	44	1947
350	99536	45	1947
348	97116	46	1947
450	93619	47	1947
424	87787	48	1947
444	82144.5	49	1947
383	77854	50	1947
503	73599	51	1947
533	69971	52	1947
504	67386.5	53	1947
574	64892.5	54	1947
561	60204	55	1947
588	55393.5	56	1947
624	51988	57	1947
595	49604.5	58	1947
689	46553	59	1947
677	38602.5	60	1947
590	33228	61	1947
542	30308.5	62	1947
612	27399.5	63	1947
567	24740.5	64	1947
491	19884.5	65	1947
471	16373.5	66	1947
486	14671	67	1947
426	13095	68	1947
450	11821.5	69	1947
470	10416.5	70	1947
450	9408	71	1947
427	8752.5	72	1947
458	8167	73	1947
446	7450.5	74	1947
466	6745.5	75	1947
383	5948	76	1947
480	5157.5	77	1947
454	4595.5	78	1947
444	4158.5	79	1947
459	3536.5	80	1947
435	2951	81	1947
397	2451	82	1947
322	2094.5	83	1947
294	1816.5	84	1947
267	1532	85	1947
240	1233	86	1947
216	969	87	1947
166	765.5	88	1947
146	559.5	89	1947
105	420	90	1947
97	311	91	1947
80	230	92	1947
63	157.5	93	1947
34	113.5	94	1947
24	69	95	1947
9	46.5	96	1947
10	38.5	97	1947
8	26	98	1947
4	15.5	99	1947
4	14	100	1947
0	42.5	11	1948
0	69.5	12	1948
0	97	13	1948
0	152	14	1948
0	432.5	15	1948
1	2106	16	1948
3	4070.5	17	1948
8	6304	18	1948
11	8073	19	1948
15	10369.5	20	1948
11	15084.5	21	1948
23	21315.5	22	1948
35	26555.5	23	1948
36	31628	24	1948
41	36323	25	1948
44	41113.5	26	1948
47	47292	27	1948
64	53829.5	28	1948
52	51564.5	29	1948
56	47682	30	1948
61	54642.5	31	1948
61	64508.5	32	1948
66	72096.5	33	1948
103	79023	34	1948
123	85855.5	35	1948
126	89967	36	1948
147	93490.5	37	1948
163	98667	38	1948
169	103734	39	1948
193	107081.5	40	1948
258	107694.5	41	1948
194	106173	42	1948
275	106161.5	43	1948
294	105896	44	1948
335	104176.5	45	1948
379	102267	46	1948
399	99288.5	47	1948
426	95380	48	1948
468	88935	49	1948
465	81524	50	1948
486	77592.5	51	1948
495	73481	52	1948
469	69606.5	53	1948
515	66512.5	54	1948
561	61941	55	1948
591	57852.5	56	1948
638	53825.5	57	1948
625	50345	58	1948
696	47248	59	1948
572	39586.5	60	1948
548	33893.5	61	1948
577	30801.5	62	1948
557	28083.5	63	1948
587	25078	64	1948
520	19970.5	65	1948
475	16174	66	1948
464	14489.5	67	1948
459	13187.5	68	1948
384	11835.5	69	1948
423	10500.5	70	1948
368	9466.5	71	1948
377	8682	72	1948
461	8107.5	73	1948
438	7527	74	1948
415	6799	75	1948
406	6215	76	1948
399	5472.5	77	1948
411	4669.5	78	1948
461	4102	79	1948
371	3529	80	1948
358	3116.5	81	1948
303	2542	82	1948
300	2112.5	83	1948
280	1799	84	1948
246	1522.5	85	1948
232	1266.5	86	1948
164	1011	87	1948
204	782	88	1948
139	579.5	89	1948
95	444	90	1948
80	312.5	91	1948
66	226	92	1948
43	159	93	1948
23	112	94	1948
19	83	95	1948
21	50.5	96	1948
5	33	97	1948
8	26.5	98	1948
7	14	99	1948
5	9	100	1948
0	27	11	1949
0	61.5	12	1949
0	92	13	1949
0	133.5	14	1949
0	401	15	1949
1	1762	16	1949
2	3770.5	17	1949
9	6023.5	18	1949
9	7547.5	19	1949
6	9768	20	1949
19	15384.5	21	1949
20	22290.5	22	1949
31	28044.5	23	1949
46	33145.5	24	1949
42	37925	25	1949
47	42668.5	26	1949
46	47223.5	27	1949
58	53929	28	1949
78	60646	29	1949
58	57537.5	30	1949
69	52810	31	1949
70	59951	32	1949
84	70064	33	1949
76	77883.5	34	1949
108	85172.5	35	1949
124	91825.5	36	1949
159	95323	37	1949
165	98568.5	38	1949
175	103736	39	1949
191	108200	40	1949
242	111268.5	41	1949
230	111280	42	1949
239	109272.5	43	1949
288	108717.5	44	1949
323	107440	45	1949
402	105455	46	1949
362	103191.5	47	1949
480	99902.5	48	1949
480	95395	49	1949
480	87300.5	50	1949
548	80118	51	1949
494	76467	52	1949
580	72293.5	53	1949
574	67892	54	1949
626	62834	55	1949
643	59026.5	56	1949
619	55573	57	1949
600	51624.5	58	1949
670	47461	59	1949
647	39652	60	1949
666	34502.5	61	1949
575	31149	62	1949
612	28307.5	63	1949
617	25425.5	64	1949
530	19758	65	1949
412	15903	66	1949
447	14093.5	67	1949
430	12843	68	1949
425	11758	69	1949
413	10428.5	70	1949
451	9407	71	1949
406	8616.5	72	1949
420	7930	73	1949
442	7386.5	74	1949
470	6760.5	75	1949
436	6145.5	76	1949
455	5648	77	1949
438	4930.5	78	1949
467	4115	79	1949
400	3438	80	1949
407	3085.5	81	1949
375	2676.5	82	1949
287	2169.5	83	1949
309	1787	84	1949
298	1476.5	85	1949
230	1227.5	86	1949
212	1029.5	87	1949
179	796.5	88	1949
144	580.5	89	1949
116	443.5	90	1949
112	333	91	1949
64	226	92	1949
58	163.5	93	1949
37	106	94	1949
25	83.5	95	1949
19	56	96	1949
16	36	97	1949
6	22.5	98	1949
5	16	99	1949
2	8.5	100	1949
0	21	11	1950
0	37	12	1950
0	83	13	1950
0	123.5	14	1950
0	378	15	1950
3	1602	16	1950
1	3292	17	1950
6	5498	18	1950
8	7086	19	1950
15	9423.5	20	1950
17	15005.5	21	1950
22	21372.5	22	1950
38	27794	23	1950
23	33699.5	24	1950
30	38671	25	1950
44	43612	26	1950
54	47886	27	1950
52	52624	28	1950
66	59646.5	29	1950
81	66911	30	1950
59	62700	31	1950
47	56939.5	32	1950
63	64134.5	33	1950
72	74777	34	1950
98	82941.5	35	1950
130	89982.5	36	1950
114	96283.5	37	1950
121	99554.5	38	1950
176	102583.5	39	1950
196	107303.5	40	1950
228	111577	41	1950
249	114038	42	1950
238	113651.5	43	1950
287	111260.5	44	1950
381	109738.5	45	1950
396	108106	46	1950
425	105921.5	47	1950
443	103396.5	48	1950
461	99508.5	49	1950
551	93338.5	50	1950
498	85416.5	51	1950
525	78532.5	52	1950
604	74855	53	1950
673	70131	54	1950
615	63665	55	1950
648	59584.5	56	1950
648	56400	57	1950
707	52971	58	1950
710	48231	59	1950
641	39448	60	1950
628	34221.5	61	1950
628	31446	62	1950
623	28377	63	1950
594	25352.5	64	1950
525	19646	65	1950
388	15512	66	1950
400	13701.5	67	1950
381	12397.5	68	1950
417	11339	69	1950
443	10230.5	70	1950
429	9218.5	71	1950
496	8451	72	1950
451	7738.5	73	1950
432	7118.5	74	1950
491	6580	75	1950
403	5999	76	1950
490	5485	77	1950
473	4999	78	1950
408	4324.5	79	1950
346	3434.5	80	1950
349	2951.5	81	1950
388	2601	82	1950
354	2226	83	1950
302	1796.5	84	1950
298	1441.5	85	1950
231	1157	86	1950
184	975.5	87	1950
172	810	88	1950
149	595.5	89	1950
109	436.5	90	1950
98	310.5	91	1950
81	230	92	1950
52	157	93	1950
51	97	94	1950
27	69	95	1950
23	54.5	96	1950
6	33.5	97	1950
7	24	98	1950
2	12.5	99	1950
1	10	100	1950
0	21	11	1951
0	30	12	1951
0	56	13	1951
0	126.5	14	1951
0	380	15	1951
1	1675.5	16	1951
1	3262	17	1951
6	5175.5	18	1951
9	6706.5	19	1951
16	9017.5	20	1951
21	14872	21	1951
13	20931	22	1951
26	27140.5	23	1951
24	33584	24	1951
38	39676.5	25	1951
46	44634	26	1951
55	49157.5	27	1951
57	53228	28	1951
56	58004	29	1951
65	65670.5	30	1951
73	72760.5	31	1951
71	67456.5	32	1951
85	60785.5	33	1951
56	68200.5	34	1951
83	79338.5	35	1951
75	87211	36	1951
122	94251	37	1951
150	100262.5	38	1951
162	103286	39	1951
175	105924	40	1951
179	110446	41	1951
238	114076.5	42	1951
248	116218	43	1951
286	115553	44	1951
365	112202	45	1951
389	110392	46	1951
426	108472	47	1951
446	105997.5	48	1951
481	102959	49	1951
590	97321.5	50	1951
623	91388	51	1951
659	83635	52	1951
607	76771.5	53	1951
668	72592	54	1951
665	65812	55	1951
645	60264	56	1951
668	56856	57	1951
713	53626.5	58	1951
726	49426	59	1951
686	39917.5	60	1951
688	33881.5	61	1951
692	31132.5	62	1951
626	28621.5	63	1951
604	25367.5	64	1951
545	19390.5	65	1951
530	15187.5	66	1951
448	13259	67	1951
423	12032.5	68	1951
421	10852	69	1951
444	9801	70	1951
463	8996.5	71	1951
444	8247.5	72	1951
500	7540.5	73	1951
476	6891	74	1951
458	6295	75	1951
444	5823	76	1951
503	5332.5	77	1951
485	4787.5	78	1951
497	4353.5	79	1951
422	3597	80	1951
377	2935.5	81	1951
367	2486	82	1951
338	2133	83	1951
301	1833.5	84	1951
283	1441.5	85	1951
253	1132.5	86	1951
232	906.5	87	1951
167	743.5	88	1951
169	607	89	1951
121	449	90	1951
76	307.5	91	1951
75	219	92	1951
57	150.5	93	1951
41	99.5	94	1951
20	59.5	95	1951
25	46.5	96	1951
8	27	97	1951
6	21.5	98	1951
7	10.5	99	1951
2	7.5	100	1951
0	22	11	1952
0	32	12	1952
0	47	13	1952
1	100	14	1952
0	392	15	1952
1	1772.5	16	1952
1	3549.5	17	1952
10	5388	18	1952
9	6525	19	1952
13	8456	20	1952
19	14712.5	21	1952
25	21017	22	1952
26	26666.5	23	1952
35	33370.5	24	1952
38	39943.5	25	1952
55	45882.5	26	1952
28	50573	27	1952
50	54696	28	1952
66	58453.5	29	1952
52	63436	30	1952
60	71363	31	1952
79	78059.5	32	1952
97	71856.5	33	1952
66	64410.5	34	1952
91	71918	35	1952
88	83246	36	1952
127	91078	37	1952
135	97790.5	38	1952
180	103856	39	1952
165	106376.5	40	1952
214	108807	41	1952
197	112881	42	1952
274	116212.5	43	1952
306	117945.5	44	1952
329	116430.5	45	1952
314	112926	46	1952
422	110688.5	47	1952
453	108443.5	48	1952
490	105489	49	1952
560	100896.5	50	1952
627	95373.5	51	1952
564	89718	52	1952
630	81858	53	1952
615	74624.5	54	1952
628	68283.5	55	1952
655	62477.5	56	1952
721	57643	57	1952
678	54220	58	1952
680	50294.5	59	1952
643	40995	60	1952
570	34451.5	61	1952
581	31050	62	1952
600	28515	63	1952
622	25721	64	1952
443	19314.5	65	1952
438	14847.5	66	1952
430	13016.5	67	1952
442	11649.5	68	1952
400	10547.5	69	1952
372	9400	70	1952
406	8694.5	71	1952
445	8082	72	1952
418	7418.5	73	1952
442	6766.5	74	1952
428	6083.5	75	1952
419	5607.5	76	1952
422	5202.5	77	1952
479	4718.5	78	1952
386	4169.5	79	1952
393	3655.5	80	1952
382	3028	81	1952
352	2512	82	1952
284	2046.5	83	1952
292	1791.5	84	1952
259	1489	85	1952
188	1173.5	86	1952
190	892.5	87	1952
156	682	88	1952
127	562	89	1952
103	452.5	90	1952
100	331.5	91	1952
74	226	92	1952
42	142.5	93	1952
22	111	94	1952
17	70	95	1952
26	43	96	1952
5	23.5	97	1952
6	17.5	98	1952
2	11	99	1952
0	5	100	1952
0	26.5	11	1953
0	34	12	1953
0	48	13	1953
0	86.5	14	1953
1	392.5	15	1953
2	1900.5	16	1953
2	3709.5	17	1953
1	5714.5	18	1953
5	6688.5	19	1953
3	8357.5	20	1953
10	14274.5	21	1953
21	21119	22	1953
18	26618.5	23	1953
38	33111	24	1953
42	39741.5	25	1953
38	46104	26	1953
48	51758	27	1953
53	56145.5	28	1953
42	59830.5	29	1953
